unix,Date,Symbol,Open,High,Low,Close,Volume,Volume USDT,tradecount
1.57326E+12,11/9/2019 0:00,ETH/USDT,183.71,185.79,182.63,184.89,192073.3804,35441967.77,112521
1.57317E+12,11/8/2019 0:00,ETH/USDT,186.67,188.26,181.41,183.74,365029.7503,67305417.41,167904
1.57308E+12,11/7/2019 0:00,ETH/USDT,191.16,192.27,184.59,186.68,309882.0821,58150631.28,152881
1.573E+12,11/6/2019 0:00,ETH/USDT,188.65,195.09,187.72,191.16,343219.9224,65471595.21,160110
1.57291E+12,11/5/2019 0:00,ETH/USDT,185.71,192.51,182.22,188.68,389668.6472,73036074.78,184562
1.57283E+12,11/4/2019 0:00,ETH/USDT,181.53,188.64,180.36,185.71,321175.2913,59357371.31,147624
1.57274E+12,11/3/2019 0:00,ETH/USDT,182.9,184.7,178.95,181.54,232621.5215,42260620.38,109861
1.57265E+12,11/2/2019 0:00,ETH/USDT,182.86,186,181.53,182.91,179864.3974,32936676.71,107048
1.57257E+12,11/1/2019 0:00,ETH/USDT,182.19,184.5,177.02,182.85,331519.7696,60092727.14,154534
1.57248E+12,10/31/2019 0:00,ETH/USDT,183.14,185.27,177.66,182.18,410969.861,74696032.73,167038
1.57239E+12,10/30/2019 0:00,ETH/USDT,190.45,191.71,179.28,183.13,537770.4306,99508269.89,194946
1.57231E+12,10/29/2019 0:00,ETH/USDT,181.67,192.74,181.26,190.46,529964.5054,99024969.84,212841
1.57222E+12,10/28/2019 0:00,ETH/USDT,183.84,189.48,180.35,181.72,582179.4455,106933716.7,225343
1.57213E+12,10/27/2019 0:00,ETH/USDT,179.42,188.7,176.22,183.75,724423.4053,132329593.4,262415
1.57205E+12,10/26/2019 0:00,ETH/USDT,181.53,197.74,173.8,179.49,1211737.437,222906937.8,373782
1.57196E+12,10/25/2019 0:00,ETH/USDT,160.39,187.78,160.25,181.5,904832.8606,157496890.7,267143
1.57188E+12,10/24/2019 0:00,ETH/USDT,162.35,163.72,158.72,160.38,387310.8377,62419095.11,159778
1.57179E+12,10/23/2019 0:00,ETH/USDT,171.19,171.49,153.45,162.35,746955.0981,121126428.2,238790
1.5717E+12,10/22/2019 0:00,ETH/USDT,174,175.04,170.3,171.2,255429.4162,44176123.21,123180
1.57162E+12,10/21/2019 0:00,ETH/USDT,175.18,177.9,171.59,173.98,270608.5139,47204344.24,128045
1.57153E+12,10/20/2019 0:00,ETH/USDT,171.84,176.88,169.21,175.22,299141.0715,51654250.07,125469
1.57144E+12,10/19/2019 0:00,ETH/USDT,172.78,174.98,169.44,171.79,296918.7303,51269466.04,127763
1.57136E+12,10/18/2019 0:00,ETH/USDT,177.17,177.44,168.66,172.74,319602.4851,55285684.61,139612
1.57127E+12,10/17/2019 0:00,ETH/USDT,174.52,178.96,172.61,177.16,298795.8198,52578052.94,133295
1.57118E+12,10/16/2019 0:00,ETH/USDT,180.52,181.44,171.81,174.47,347764.9346,61180262.78,151051
1.5711E+12,10/15/2019 0:00,ETH/USDT,186.7,188.37,175.96,180.49,405466.3811,73998014.45,155734
1.57101E+12,10/14/2019 0:00,ETH/USDT,180.98,187.54,180.43,186.72,279732.8461,51494870.28,123915
1.57092E+12,10/13/2019 0:00,ETH/USDT,179.65,184.95,178.52,180.99,247589.2323,45067340.42,113448
1.57084E+12,10/12/2019 0:00,ETH/USDT,180.65,184.64,177.59,179.68,290415.2204,52895345.38,118775
1.57075E+12,10/11/2019 0:00,ETH/USDT,191.18,196.65,179.41,180.72,621693.6313,115872479.8,181427
1.57067E+12,10/10/2019 0:00,ETH/USDT,192.61,194.2,186.88,191.14,436588.5845,83367952.39,150166
1.57058E+12,10/9/2019 0:00,ETH/USDT,180.61,195.53,178.96,192.62,562506.8219,105551736.5,182290
1.57049E+12,10/8/2019 0:00,ETH/USDT,179.88,184.87,177,180.6,400832.3783,72432729.98,139925
1.57041E+12,10/7/2019 0:00,ETH/USDT,170.08,182.32,168.68,179.85,496523.4804,87617964.57,159802
1.57032E+12,10/6/2019 0:00,ETH/USDT,176.23,177.04,167.68,170.1,314932.3963,54241930.13,114662
1.57023E+12,10/5/2019 0:00,ETH/USDT,175.55,176.71,172.02,176.25,278488.6177,48647162.44,90341
1.57015E+12,10/4/2019 0:00,ETH/USDT,174.71,178.98,170.74,175.55,333897.6388,58470302.14,89655
1.57006E+12,10/3/2019 0:00,ETH/USDT,180.24,180.72,169.55,174.69,354756.7848,62001237.48,101114
1.56997E+12,10/2/2019 0:00,ETH/USDT,175.65,181.29,173.65,180.24,348268.1162,61530973.8,96660
1.56989E+12,10/1/2019 0:00,ETH/USDT,180.89,185.53,173.19,175.66,609819.6083,109337395.1,168492
1.5698E+12,9/30/2019 0:00,ETH/USDT,169.26,181.24,165.01,180.85,580295.3997,100443187.8,175354
1.56972E+12,9/29/2019 0:00,ETH/USDT,173.5,174.5,164.12,169.24,410855.1218,69327213.65,136438
1.56963E+12,9/28/2019 0:00,ETH/USDT,173.83,175.49,168,173.49,521775.4659,90120971.17,159337
1.56954E+12,9/27/2019 0:00,ETH/USDT,165.92,176.72,161.03,173.79,634932.9671,106461443.9,183611
1.56946E+12,9/26/2019 0:00,ETH/USDT,169.96,171.01,152.11,165.92,779942.1715,127948136.3,202020
1.56937E+12,9/25/2019 0:00,ETH/USDT,165.72,174.85,161.88,169.96,879001.4621,147619414.1,251456
1.56928E+12,9/24/2019 0:00,ETH/USDT,201.25,202.98,150.03,165.81,1478218.827,263412071.5,383778
1.5692E+12,9/23/2019 0:00,ETH/USDT,211.2,211.68,198.65,201.29,392437.0708,80922890.46,121866
1.56911E+12,9/22/2019 0:00,ETH/USDT,215.04,215.61,206.1,211.2,445388.9479,93662351.5,108397
1.56902E+12,9/21/2019 0:00,ETH/USDT,218.01,221.5,213.2,215.05,417891.5242,90638548.24,105391
1.56894E+12,9/20/2019 0:00,ETH/USDT,220.26,221.54,212.05,218.03,437804.1267,95069640.62,133129
1.56885E+12,9/19/2019 0:00,ETH/USDT,210.27,223.94,202.3,220.24,844358.8216,179595728.8,230867
1.56876E+12,9/18/2019 0:00,ETH/USDT,207.85,217.27,207.66,210.21,539028.5101,114703107.3,182943
1.56868E+12,9/17/2019 0:00,ETH/USDT,197.23,215.13,195.74,207.84,715863.2262,145945114.9,214041
1.56859E+12,9/16/2019 0:00,ETH/USDT,189.05,199.44,188.3,197.22,551006.8169,106449156,166031
1.56851E+12,9/15/2019 0:00,ETH/USDT,188.14,190.45,185.76,189.03,288928.6083,54373471.39,106052
1.56842E+12,9/14/2019 0:00,ETH/USDT,180.96,188.79,179.75,188.13,279371.8342,51424561.39,113052
1.56833E+12,9/13/2019 0:00,ETH/USDT,180.71,181.38,177.54,180.95,264422.5406,47382425.19,109752
1.56825E+12,9/12/2019 0:00,ETH/USDT,178.3,182.38,176.62,180.72,203543.1366,36419973.23,102872
1.56816E+12,9/11/2019 0:00,ETH/USDT,179.87,182.8,173,178.28,278555.4671,49657474.98,130317
1.56807E+12,9/10/2019 0:00,ETH/USDT,180.52,184.36,177,179.81,238387.51,43067898.91,116866
1.56799E+12,9/9/2019 0:00,ETH/USDT,181.18,185.38,176.01,180.54,273729.9487,49340881.23,140362
1.5679E+12,9/8/2019 0:00,ETH/USDT,177.58,184.18,176.13,181.19,290083.475,52424648.72,143793
1.56781E+12,9/7/2019 0:00,ETH/USDT,169.11,180.8,168.3,177.62,253831.2317,44282963.31,134155
1.56773E+12,9/6/2019 0:00,ETH/USDT,173.74,177.87,165,169.08,315822.3798,54567316.61,146974
1.56764E+12,9/5/2019 0:00,ETH/USDT,174.7,176.19,168.1,173.75,232753.836,40247496.56,123424
1.56756E+12,9/4/2019 0:00,ETH/USDT,178.79,180.14,173,174.72,286226.2517,50629395.49,140298
1.56747E+12,9/3/2019 0:00,ETH/USDT,178,183,174.09,178.75,327857.8545,58621819.36,147758
1.56738E+12,9/2/2019 0:00,ETH/USDT,170.73,181,170.02,178.05,294627.3125,51446380.45,116596
1.5673E+12,9/1/2019 0:00,ETH/USDT,171.52,173.42,167.61,170.74,191140.5237,32627380.93,93036
1.56721E+12,8/31/2019 0:00,ETH/USDT,168.48,174.98,165.63,171.57,194999.1958,32983642.84,101425
1.56712E+12,8/30/2019 0:00,ETH/USDT,169.03,170.77,165.55,168.5,238616.6887,40216956.6,114316
1.56704E+12,8/29/2019 0:00,ETH/USDT,173.03,173.5,163.61,169.01,295241.216,49838097.17,142645
